Year,OsoyoosLake-V1,OsoyoosLake-V2,OsoyoosLake-V3,OsoyoosLake-V4,SkahaLake-V1,SkahaLake-V2,OkanaganComplex-V1,OkanaganComplex-V2,OkanaganComplex-V3
1961,3172.897818,3172.897818,3172.897818,3172.897818,,,3172.897818,3172.897818,3172.897818
1962,5430.506455,5430.506455,5430.506455,5430.506455,,,5430.506455,5430.506455,5430.506455
1963,26237.73109,26237.73109,26237.73109,26237.73109,,,26237.73109,26237.73109,26237.73109
1964,23251.55603,23251.55603,23251.55603,23251.55603,,,23251.55603,23251.55603,23251.55603
1965,17879.29135,17879.29135,17879.29135,17879.29135,,,17879.29135,17879.29135,17879.29135
1966,73659.0366,73659.0366,73659.0366,73659.0366,,,73659.0366,73659.0366,73659.0366
1967,26964.0961,26964.0961,26964.0961,26964.0961,,,26964.0961,26964.0961,26964.0961
1968,45522.88,45522.88,45522.88,45522.88,,,45522.88,45522.88,45522.88
1969,10710.592,10710.592,10710.592,10710.592,,,10710.592,10710.592,10710.592
1970,29341.888,29341.888,29341.888,29341.888,,,29341.888,29341.888,29341.888
1971,36090.9141,36090.9141,36090.9141,36090.9141,,,36090.9141,36090.9141,36090.9141
1972,21564,21564,21564,21564,,,21564,21564,21564
1973,12133,12133,12133,12133,,,12133,12133,12133
1974,7110.434712,7110.434712,7110.434712,7110.434712,,,7110.434712,7110.434712,7110.434712
1975,12739.23404,12739.23404,12739.23404,12739.23404,,,12739.23404,12739.23404,12739.23404
1976,16428.544,16428.544,16428.544,16428.544,,,16428.544,16428.544,16428.544
1977,13176.448,13176.448,13176.448,13176.448,,,13176.448,13176.448,13176.448
1978,4750.144,4750.144,4750.144,4750.144,,,4750.144,4750.144,4750.144
1979,15009.28,15009.28,15009.28,15009.28,,,15009.28,15009.28,15009.28
1980,15807.04,15807.04,15807.04,15807.04,,,15807.04,15807.04,15807.04
1981,16938.304,16938.304,16938.304,16938.304,,,16938.304,16938.304,16938.304
1982,11703.04,11703.04,11703.04,11703.04,,,11703.04,11703.04,11703.04
1983,16761.472,16761.472,16761.472,16761.472,,,16761.472,16761.472,16761.472
1984,53720.67986,53720.67986,53720.67986,53720.67986,,,53720.67986,53720.67986,53720.67986
1985,31945.74646,31945.74646,31945.74646,31945.74646,,,31945.74646,31945.74646,31945.74646
1986,15472.15812,15472.15812,15472.15812,15472.15812,,,15472.15812,15472.15812,15472.15812
1987,21090.09404,21090.09404,21090.09404,21090.09404,,,21090.09404,21090.09404,21090.09404
1988,20652.928,20652.928,20652.928,20652.928,,,20652.928,20652.928,20652.928
1989,17947.46414,17947.46414,17947.46414,17947.46414,,,17947.46414,17947.46414,17947.46414
1990,6261.494874,6261.494874,6261.494874,6261.494874,,,6261.494874,6261.494874,6261.494874
1991,19737.56439,19737.56439,19737.56439,19737.56439,,,19737.56439,19737.56439,19737.56439
1992,33184.31818,33184.31818,33184.31818,33184.31818,,,33184.31818,33184.31818,33184.31818
1993,17151.424,17151.424,17151.424,17151.424,,,17151.424,17151.424,17151.424
1994,1976.704,1976.704,1976.704,1976.704,,,1976.704,1976.704,1976.704
1995,4581.290136,4581.290136,4581.290136,4581.290136,,,4581.290136,4581.290136,4581.290136
1996,17034.93753,17034.93753,17034.93753,17034.93753,,,17034.93753,17034.93753,17034.93753
1997,11995.86628,11995.86628,11995.86628,11995.86628,,,11995.86628,11995.86628,11995.86628
1998,3708.12834,3708.12834,3708.12834,3708.12834,,,3708.12834,3708.12834,3708.12834
1999,5648,5648,5648,5648,,,5648,5648,5648
2000,21838,21838,21838,21838,,,21838,21838,21838
2001,39024,39024,39024,39024,,,39024,39024,39024
2002,3560,3560,3560,3560,,,3560,3560,3560
2003,17753,17753,17753,17753,,,17753,17753,17753
2004,41791,41791,41791,41791,,,41791,41791,41791
2005,31260,31260,31260,31260,,,31260,31260,31260
2006,20819,20819,20819,20819,,,20819,20819,20819
2007,13490,13490,13490,13490,,,13490,11871,13490
2008,126972,126972,126972,126972,,,126972,118973,126972
2009,64024,64024,64024,64024,,,64024,56917,64024
2010,182122,182122,182122,182122,,,182122,176476,182122
2011,35900,35900,35900,35900,22879,16201.21869,33692,26571.21869,33692
2012,90862,90862,90862,90862,10994,2737,101856,91782,101856
2013,33820,33820,33820,33820,8904,3617,42724,32567,42724
2014,145206,145206,145206,145206,49549,29342,194755,170773,194755
2015,10255,10255,10255,10255,14407,14257,24662,24348,24662
2016,54281,54281,54281,54281,36853,36612,91134,90513,91134
2017,9893,9893,9893,9893,27136,27050,37029,36943,37029
2018,30755,30755,30755,30755,41746,37036,72501,67576,72501
2019,12913,12913,12913,12913,10175,5843,23088,18130.69386,23088
2020,46510,46510,46510,46510,39864,22768,86374,68069,86374
2021,10457,10457,10457,10457,8687,7136,19144,16903,19144
2022,75260.45455,75260.45455,75260.45455,75260.45455,29312,20756.59435,109007,91839.28092,109007
