"CU_ID","Year","AllSitesInfilled","LowUnkSitesInfilled","ModHighSitesInfilled","DU_ID","CU_Name","CU_acro"
"CK-01",1997,5,5,NA,"DU_Ok","Okanagan_1.x","OK"
"CK-01",1998,4,4,NA,"DU_Ok","Okanagan_1.x","OK"
"CK-02",1996,123,NA,123,"DU1","Boundary Bay_FA_0.3","BB"
"CK-02",1997,381,NA,381,"DU1","Boundary Bay_FA_0.3","BB"
"CK-03",1975,15000,15000,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1976,7500,7500,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1977,25000,25000,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1978,15000,15000,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1979,15000,15000,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1980,10000,10000,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1981,20000,20000,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1982,22000,22000,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1983,6000,6000,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1984,122395,122395,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1985,175401,175401,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1986,163312,163312,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1987,79956,79956,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1988,35572,35572,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1989,76032,76032,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1990,178839,178839,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1991,92050,92050,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1992,132363,132363,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1993,120487,120487,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1994,99659,99659,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1995,28830,28830,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1996,38600,38600,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1997,71955,71955,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1998,189350,189350,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",1999,108038,108038,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",2000,127241,127241,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
"CK-03",2001,115009,115009,NA,"DU2","Lower Fraser River_FA_0.3","LFR-fall"
