"","CU_ID","Pop_Name","Pop_ID"
"1","CK-02","CAMPBELL RIVER",586
"3","CK-9008","CHILLIWACK/VEDDER RIVER",696
"40","CK-16","CREIGHTON CREEK",812
"65","CK-12","HOLLIDAY CREEK",1207
"93","CK-10","SWIFT RIVER",2483
"121","CK-11","TASEKO RIVER",2507
"147","CK-12","ICE CREEK",3075
"175","CK-31","SOMASS-SPROAT-GC SYSTEM",3306
"203","CK-33","CAYEGHLE CREEK",39908
"231","CK-33","COLONIAL CREEK",39918
"259","CK-33","MARBLE RIVER",39958
"287","CK-25","CHEMAINUS RIVER",39984
"315","CK-22","COWICHAN RIVER",40023
"350","CK-21","GOLDSTREAM RIVER",40053
"372","CK-31","SOOKE RIVER",40153
"400","CK-31","SAN JUAN RIVER",40253
"428","CK-31","NITINAT RIVER",40363
"456","CK-31","SARITA RIVER",40458
"484","CK-31","NAHMINT RIVER",40618
"512","CK-31","TOQUART RIVER",40798
"540","CK-31","THORNTON CREEK",40808
"568","CK-31","MOYEHA RIVER",41123
"596","CK-31","MEGIN RIVER",41178
"624","CK-32","BURMAN RIVER",41328
"652","CK-32","GOLD RIVER",41348
"680","CK-32","CONUMA RIVER",41438
"708","CK-32","LEINER RIVER",41498
"736","CK-32","TAHSIS RIVER",41518
"764","CK-32","ZEBALLOS RIVER",41713
"792","CK-32","KAOUK RIVER",41863
"820","CK-32","ARTLISH RIVER",41873
"848","CK-32","TAHSISH RIVER",41883
"876","CK-12","TWIN CREEKS (COMBINED)",44497
"904","CK-12","FRASER RIVER-ABOVE TETE JAUNE",44549
"932","CK-10","BAEZAEKO RIVER",44752
"960","CK-10","NAZKO RIVER",44762
"988","CK-33","CAYEGHLE SYSTEM",44792
"1016","CK-12","FORGETMENOT CREEK",44961
"1044","CK-31","BEDWELL SYSTEM",45190
"1072","CK-12","SMALL CREEK",45325
"1100","CK-10","ENDAKO RIVER",45510
"1128","CK-11","PINCHI CREEK",45547
"1152","CK-11","KUZKWA RIVER",45555
"1176","CK-10","WEST ROAD (BLACKWATER) RIVER",45991
"1204","CK-11","NECHAKO RIVER",46001
"1228","CK-10","CHILAKO RIVER",46011
"1256","CK-11","STELLAKO RIVER",46021
"1282","CK-03","HARRISON RIVER",46034
"1321","CK-06","BIG SILVER CREEK",46076
"1329","CK-04","BIRKENHEAD RIVER",46101
"1377","CK-13","THOMPSON RIVER",46165
"1403","CK-17","NICOLA RIVER",46176
"1431","CK-17","SPIUS CREEK",46186
"1459","CK-17","COLDWATER RIVER",46196
"1487","CK-17","BONAPARTE RIVER",46206
"1515","CK-17","DEADMAN RIVER",46216
"1543","CK-13","SOUTH THOMPSON RIVER",46226
"1569","CK-13","LITTLE RIVER",46236
"1595","CK-13","ADAMS RIVER",46246
"1621","CK-82","ADAMS RIVER-UPPER",46256
"1637","CK-14","SEYMOUR RIVER",46336
"1661","CK-14","EAGLE RIVER",46366
"1685","CK-14","SALMON RIVER",46407
"1709","CK-15","SHUSWAP RIVER-LOWER",46437
"1749","CK-15","SHUSWAP RIVER-MIDDLE",46447
