"","DataSet","Year","Pop_Name","CU_Name","Escapement_Wild","Escapement_Total","Recruits_Total","Recruits_Wild","Pop_ID","CU_ID","DU_ID"
"1","Sk_Fraser",1938,"Chilko River","Chilko - Summer",10870,10870,NA,NA,46843,"SEL-06-03/SEL-06-02",NA
"2","Sk_Fraser",1938,"S. End Chilko Lake","Chilko - Early Summer",0,0,NA,NA,45081,"SEL-06-02",NA
"3","Sk_Fraser",1938,"Taseko Lake","Taseko - Early Summer",0,0,NA,NA,46853,"SEL-06-16",NA
"4","Sk_Fraser",1938,"Adams River, lower","Shuswap - Early Summer",0,0,NA,NA,46238,"SEL-09-02",NA
"5","Sk_Fraser",1938,"Adams River, upper","Shuswap - Early Summer",0,0,NA,NA,46248,"OsoV2",NA
"6","Sk_Fraser",1938,"Adams River, upper","Shuswap - Early Summer",0,0,NA,NA,46248,"OsoV3",NA
"7","Sk_Fraser",1938,"Adams River, upper","Shuswap - Early Summer",0,0,NA,NA,46248,"OsoV4",NA
"8","Sk_Fraser",1938,"Adams River, upper","Shuswap - Early Summer",0,0,NA,NA,46248,"SkahaV1",NA
"9","Sk_Fraser",1938,"Adams River, upper","Shuswap - Early Summer",0,0,NA,NA,46248,"SkahaV2",NA
"10","Sk_Fraser",1938,"Adams River, upper","Shuswap - Early Summer",0,0,NA,NA,46248,"OkaComplV1",NA
"11","Sk_Fraser",1938,"Adams River, upper","Shuswap - Early Summer",0,0,NA,NA,46248,"OkaComplV2",NA
"12","Sk_Fraser",1938,"Adams River, upper","Shuswap - Early Summer",0,0,NA,NA,46248,"OkaComplV3",NA
"13","Sk_Fraser",1938,"Anstey River","Shuswap - Early Summer",0,0,NA,NA,46348,"SEL-09-02",NA
"14","Sk_Fraser",1938,"Eagle River","Shuswap - Early Summer",0,0,NA,NA,46358,"SEL-09-02",NA
"15","Sk_Fraser",1938,"Momich River, lower","Shuswap - Early Summer",0,0,NA,NA,46268,"OsoV2",NA
"16","Sk_Fraser",1938,"Momich River, lower","Shuswap - Early Summer",0,0,NA,NA,46268,"OsoV3",NA
"17","Sk_Fraser",1938,"Momich River, lower","Shuswap - Early Summer",0,0,NA,NA,46268,"OsoV4",NA
"18","Sk_Fraser",1938,"Momich River, lower","Shuswap - Early Summer",0,0,NA,NA,46268,"SkahaV1",NA
"19","Sk_Fraser",1938,"Momich River, lower","Shuswap - Early Summer",0,0,NA,NA,46268,"SkahaV2",NA
"20","Sk_Fraser",1938,"Momich River, lower","Shuswap - Early Summer",0,0,NA,NA,46268,"OkaComplV1",NA
"21","Sk_Fraser",1938,"Momich River, lower","Shuswap - Early Summer",0,0,NA,NA,46268,"OkaComplV2",NA
"22","Sk_Fraser",1938,"Momich River, lower","Shuswap - Early Summer",0,0,NA,NA,46268,"OkaComplV3",NA
"23","Sk_Fraser",1938,"Scotch Creek","Shuswap - Early Summer",0,0,NA,NA,46288,"SEL-09-02",NA
"24","Sk_Fraser",1938,"Seymour River","Shuswap - Early Summer",0,0,NA,NA,46328,"SEL-09-02",NA
"25","Sk_Fraser",1938,"15 Mile Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45590,"SEL-06-14",NA
"26","Sk_Fraser",1938,"25 Mile Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45587,"SEL-06-14",NA
"27","Sk_Fraser",1938,"Ankwill Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45596,"SEL-06-14",NA
"28","Sk_Fraser",1938,"Bates Creek","Takla-Trembleur - Early Stuart",0,0,NA,NA,45597,"SEL-06-14",NA
