"CU_ID","Species","Stock","DataType","Year","SpnForAbd_Wild","SpnForTrend_Wild","RelLBM","AbsLBM","LongTrend","PercChange","ProbDeclBelowLBM","Percentile","RelUBM","AbsUBM","NumStdMetrics","GenAvgUsed","Group","RapidStatus","BinLabel","BinPath","RapidScore","RelLBMCat","AbsLBMCat","LongTrendCat","PercChangeCat","ProbDeclBelowLBMCat","PercentileCat","RelUBMCat","AbsUBMCat","RelAbdCat","AbsAbdCat","IntStatusRaw","IntStatus","IntStatusRaw_Short","IntStatus_Short","ConfidenceRating5","ConfidenceRating3","ConfidenceRating2","IntStatus5","IntStatus3","IntStatus2"
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"CK-Inner_South_Coast","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"CK-Inner_South_Coast","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"CK-Inner_South_Coast","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"CK-Inner_South_Coast","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",1999,201.383070591828,201.383070591828,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"CK-Inner_South_Coast","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",2000,209.802207909607,209.802207909607,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"CK-Inner_South_Coast","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",2001,357.543771551983,357.543771551983,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"CK-Inner_South_Coast","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",2002,437,437,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"CK-Inner_South_Coast","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",2003,101,101,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"CK-Inner_South_Coast","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",2004,67,67,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"CK-Inner_South_Coast","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",2005,67,67,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"CK-Inner_South_Coast","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",2006,173,173,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"CK-Inner_South_Coast","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",2007,98,98,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"CK-Inner_South_Coast","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",2008,229,229,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"CK-Inner_South_Coast","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",2009,185,185,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"CK-Inner_South_Coast","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",2010,156,156,NA,NA,NA,-38.9596,64.2,NA,NA,NA,1,NA,"CK-Inner_South_Coast","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",2011,238,238,NA,NA,NA,-20.7648,45.4333,NA,NA,NA,1,NA,"CK-Inner_South_Coast","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"Amber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",2012,147,147,NA,NA,NA,-15.3845,41.9,NA,NA,NA,1,NA,"CK-Inner_South_Coast","None","Node16.NA","No LongTrend, so no SynStatus",NA,NA,NA,NA,"Amber",NA,NA,NA,NA,NA,NA,"Red","Red","R","R",NA,NA,NA,"Red","Red","Red"
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",2013,131,131,NA,NA,100,19.0005,20.5,NA,NA,NA,2,NA,"CK-Inner_South_Coast","Amber","Node65"," Data Type is RelIdx OR AbsLBM >= 1.5, then Data Type is RelIdx OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend < 233",3,NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low","Low","Moderate",NA,NA,NA
"CK-29","Chinook","East Vancouver Island-North_FA_0.x","Rel_Idx",2014,66,66,NA,NA,86,41.6986,8.2333,NA,NA,NA,2,NA,"CK-Inner_South_Coast","Amber","Node65"," Data Type is RelIdx OR AbsLBM >= 1.5, then Data Type is RelIdx OR AbsUBM >= 1, then Don't have RelLBM, then LongTrend >= 79, then PercChange >= -70, then LongTrend < 233",3,NA,NA,"Green","Green",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low","Low","Moderate",NA,NA,NA
