"Species","Year","SpnForAbd_Total","SpnForTrend_Total","SpnForAbd_Wild","SpnForTrend_Wild","CU_ID","CU_Name","DU_ID","STK_ID","STK_NAME"
"Sockeye",1961,3172.897818,3172.897818,3172.897818,3172.897818,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1962,5430.506455,5430.506455,5430.506455,5430.506455,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1963,26237.73109,26237.73109,26237.73109,26237.73109,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1964,23251.55603,23251.55603,23251.55603,23251.55603,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1965,17879.29135,17879.29135,17879.29135,17879.29135,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1966,73659.0366,73659.0366,73659.0366,73659.0366,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1967,26964.0961,26964.0961,26964.0961,26964.0961,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1968,45522.88,45522.88,45522.88,45522.88,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1969,10710.592,10710.592,10710.592,10710.592,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1970,29341.888,29341.888,29341.888,29341.888,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1971,36090.9141,36090.9141,36090.9141,36090.9141,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1972,21564,21564,21564,21564,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1973,12133,12133,12133,12133,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1974,7110.434712,7110.434712,7110.434712,7110.434712,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1975,12739.23404,12739.23404,12739.23404,12739.23404,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1976,16428.544,16428.544,16428.544,16428.544,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1977,13176.448,13176.448,13176.448,13176.448,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1978,4750.144,4750.144,4750.144,4750.144,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1979,15009.28,15009.28,15009.28,15009.28,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1980,15807.04,15807.04,15807.04,15807.04,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1981,16938.304,16938.304,16938.304,16938.304,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1982,11703.04,11703.04,11703.04,11703.04,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",1983,16761.472,16761.472,16761.472,16761.472,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
