"CU_Name","CU_acro","DU_ID","CU_ID","Pop_Name","Pop_ID","Year","EstClass","SpnForTrend_Total","StartYear","UseYear","pNOS_Used","SpnForTrend_Wild","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild"
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1996,"OtherSource",123,1979,TRUE,NA,NA,123,NA,NA,NA
"Boundary Bay_FA_0.3","BB","DU1","CK-02","CAMPBELL RIVER",586,1997,"OtherSource",381,1979,TRUE,NA,NA,381,NA,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1986,"RELATIVE ABUNDANCE (TYPE-4)",4291,1986,TRUE,NA,NA,4291,NA,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1987,"RELATIVE ABUNDANCE (TYPE-4)",16790,1986,TRUE,NA,NA,16790,NA,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1988,"RELATIVE ABUNDANCE (TYPE-4)",14466,1986,TRUE,NA,NA,14466,NA,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1989,"RELATIVE ABUNDANCE (TYPE-4)",2933,1986,TRUE,NA,NA,2933,NA,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1990,"RELATIVE ABUNDANCE (TYPE-4)",1570,1986,TRUE,NA,NA,1570,NA,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1991,"RELATIVE ABUNDANCE (TYPE-4)",8392,1986,TRUE,NA,NA,8392,NA,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1992,"RELATIVE ABUNDANCE (TYPE-4)",35856,1986,TRUE,NA,NA,35856,NA,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1993,"RELATIVE ABUNDANCE (TYPE-4)",17834,1986,TRUE,NA,NA,17834,NA,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1994,"RELATIVE ABUNDANCE (TYPE-4)",6826,1986,TRUE,NA,NA,6826,NA,NA,NA
"Fraser-Harrison fall transplant_FA_0.3","Chil_transp_FA","DU_TBD6","CK-9008","CHILLIWACK/VEDDER RIVER",696,1995,"RELATIVE ABUNDANCE (TYPE-4)",29820,1986,TRUE,NA,NA,29820,NA,NA,NA
